,County,Precinct,Bennet.First Expression,Bennet.Final Expression,Bennet.SDE,Biden.First Expression,Biden.Final Expression,Biden.SDE,Bloomberg.First Expression,Bloomberg.Final Expression,Bloomberg.SDE,Buttigieg.First Expression,Buttigieg.Final Expression,Buttigieg.SDE,Delaney.First Expression,Delaney.Final Expression,Delaney.SDE,Gabbard.First Expression,Gabbard.Final Expression,Gabbard.SDE,Klobuchar.First Expression,Klobuchar.Final Expression,Klobuchar.SDE,Patrick.First Expression,Patrick.Final Expression,Patrick.SDE,Sanders.First Expression,Sanders.Final Expression,Sanders.SDE,Steyer.First Expression,Steyer.Final Expression,Steyer.SDE,Warren.First Expression,Warren.Final Expression,Warren.SDE,Yang.First Expression,Yang.Final Expression,Yang.SDE,Other.First Expression,Other.Final Expression,Other.SDE,Uncommitted.First Expression,Uncommitted.Final Expression,Uncommitted.SDE
34,Audubon,Precinct 1,0,0,0,17,23,0.3000,0,0,0,23,31,0.4000,0,0,0,0,0,0,17,18,0.3000,0,0,0,17,18,0.2000,8,0,0,20,21,0.3000,9,0,0,0,0,0,0,0,0
35,Benton,Bruce-Cedar-Mt Auburn,0,0,0,4,4,0.0750,0,0,0,7,7,0.1500,0,0,0,0,0,0,5,5,0.0750,0,0,0,4,4,0.0750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Benton,Fremont-Atkins,0,0,0,28,28,0.6000,0,0,0,22,22,0.5250,0,0,0,0,0,0,9,0,0,0,0,0,20,20,0.5250,4,0,0,8,0,0,3,0,0,0,0,0,0,0,0
37,Benton,Belle Plaine 2,0,0,0,7,7,0.1500,0,0,0,5,5,0.0750,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.0750,0,0,0,4,4,0.0750,0,0,0,0,0,0,0,0,0
38,Benton,Belle Plaine 1,0,0,0,8,8,0.1500,0,0,0,5,5,0.0750,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.0750,0,0,0,6,6,0.1500,0,0,0,0,0,0,0,0,0
39,Benton,Iowa-Leroy-Luzerne-Blairstown,0,0,0,12,16,0.3750,0,0,0,12,18,0.3750,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0
40,Benton,Homer-Monroe-Jackson-Garrison,0,0,0,5,5,0.1500,0,0,0,3,3,0.0750,0,0,0,0,0,0,7,8,0.2250,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41,Benton,Florence-St Clair-Norway,0,0,0,19,20,0.4500,0,0,0,8,9,0.1500,0,0,0,0,0,0,0,0,0,0,0,0,11,14,0.3000,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0
42,Benton,Polk-Urbana,0,0,0,21,25,0.4500,0,0,0,22,27,0.5250,0,0,0,1,0,0,13,14,0.2250,0,0,0,13,17,0.3000,3,0,0,10,0,0,2,0,0,0,0,0,0,2,0
43,Benton,Vinton 3,0,0,0,10,11,0.1500,0,0,0,18,19,0.3000,0,0,0,0,0,0,8,9,0.1500,0,0,0,12,12,0.2250,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0
44,Benton,Eldorado-Newhall,0,0,0,13,16,0.3000,0,0,0,5,8,0.1500,0,0,0,0,0,0,3,0,0,0,0,0,10,10,0.2250,1,0,0,6,6,0.0750,2,0,0,0,0,0,0,0,0
45,Benton,Benton-Canton-Shellsburg,0,0,0,28,31,0.6000,0,0,0,23,29,0.5250,0,0,0,0,0,0,7,0,0,0,0,0,12,14,0.2250,4,0,0,15,15,0.3000,0,0,0,0,0,0,0,0,0
46,Benton,Walford,0,0,0,10,10,0.1500,0,0,0,6,7,0.1500,0,0,0,0,0,0,11,12,0.2250,0,0,0,9,10,0.2250,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
47,Benton,Kane-Keystone,0,0,0,7,8,0.2250,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0.2250,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0
48,Benton,Vinton 4,0,0,0,0,0,0,0,0,0,5,16,0.3750,0,0,0,0,0,0,2,5,0.1500,0,0,0,3,9,0.2250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Benton,Big Grove-Union-Van Horne,0,0,0,7,7,0.0750,0,0,0,8,8,0.1500,0,0,0,0,0,0,10,10,0.1500,0,0,0,12,12,0.2250,0,0,0,7,7,0.0750,0,0,0,0,0,0,0,0,0
50,Benton,Eden-Harrison-Taylor,0,0,0,10,10,0.1500,0,0,0,13,15,0.2250,0,0,0,0,0,0,10,10,0.1500,0,0,0,7,9,0.1500,5,0,0,8,9,0.0750,0,0,0,0,0,0,0,0,0
51,Benton,Vinton 1,0,0,0,22,22,0.3750,0,0,0,14,14,0.2250,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0.1500,0,0,0,12,12,0.1500,1,1,0,0,0,0,0,0,0
52,Benton,Belle Plaine 3,0,0,0,7,9,0.1500,0,0,0,6,7,0.1500,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.1500,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
53,Benton,Vinton 2,0,0,0,8,8,0.0750,0,0,0,9,9,0.1500,0,0,0,1,0,0,8,9,0.1500,0,0,0,7,8,0.1500,1,0,0,6,6,0.0750,0,0,0,0,0,0,0,0,0
54,Black Hawk,CF W1 P2,0,0,0,30,0,0,0,0,0,67,77,0.6060,0,0,0,0,0,0,56,76,0.6060,0,0,0,98,103,1.0100,11,0,0,75,84,0.8080,16,0,0,0,0,0,0,0,0
55,Black Hawk,CF W4 P1,0,0,0,18,0,0,0,0,0,63,69,0.6060,0,0,0,0,0,0,36,44,0.4040,0,0,0,89,91,1.0100,0,0,0,61,63,0.6060,6,0,0,0,0,0,3,0,0
56,Black Hawk,CF W2 P2 & CF Twp,0,0,0,14,0,0,0,0,0,72,76,0.8080,0,0,0,0,0,0,44,58,0.6060,0,0,0,80,87,1.0100,9,0,0,38,42,0.4040,14,0,0,0,0,0,2,0,0
57,Black Hawk,CF W1 P3,0,0,0,24,0,0,0,0,0,58,90,0.8080,0,0,0,2,0,0,22,0,0,0,0,0,141,154,1.4140,4,0,0,75,85,0.8080,23,0,0,0,0,0,3,0,0
58,Black Hawk,WL 3-5,0,0,0,21,23,0.4040,0,0,0,19,19,0.4040,0,0,0,0,0,0,0,0,0,0,0,0,59,59,1.0100,2,0,0,19,19,0.4040,0,0,0,0,0,0,1,0,0
59,Black Hawk,Union,0,0,0,17,17,0.2020,0,0,0,7,9,0.2020,0,0,0,0,0,0,10,10,0.2020,0,0,0,3,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
60,Black Hawk,Evansdale W3,0,0,0,6,7,0.2020,0,0,0,7,10,0.4040,0,0,0,0,0,0,3,3,0.2020,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0
61,Black Hawk,Bennington,0,0,0,0,0,0,0,0,0,5,5,0.2020,0,0,0,0,0,0,1,1,0,0,0,0,3,3,0,4,4,0,0,0,0,1,1,0,2,2,0,0,0,0
62,Black Hawk,Spring Creek,0,0,0,0,0,0,0,0,0,5,5,0.2020,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
63,Black Hawk,Eagle,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,1,0.2020,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
64,Black Hawk,CF W4 P3,0,0,0,4,0,0,0,0,0,70,78,0.4040,0,0,0,0,0,0,8,0,0,0,0,0,115,122,0.8080,1,0,0,76,83,0.6060,8,0,0,0,0,0,0,0,0
65,Black Hawk,WL 5-3,0,0,0,15,17,0.2020,0,0,0,17,19,0.4040,0,0,0,0,0,0,1,1,0,0,0,0,52,56,0.8080,4,0,0,9,5,0,0,0,0,0,0,0,0,0,0
66,Black Hawk,CF W5 P2,0,0,0,30,41,0.6060,2,0,0,31,41,0.6060,0,0,0,3,0,0,19,0,0,0,0,0,43,57,0.8080,5,0,0,38,41,0.6060,15,0,0,0,0,0,0,0,0
67,Black Hawk,WL 4-5,0,0,0,31,39,1.0100,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,28,32,0.8080,7,0,0,12,19,0.4040,3,0,0,0,0,0,0,0,0
68,Black Hawk,WL 4-4,0,0,0,17,24,0.6060,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,34,34,0.8080,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Black Hawk,WL 3-4,0,0,0,7,14,0.4040,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,21,0.8080,3,0,0,7,8,0.2020,1,0,0,0,0,0,0,0,0
70,Black Hawk,WL 1-3,0,0,0,10,17,0.4040,0,0,0,8,0,0,0,0,0,1,0,0,7,0,0,0,0,0,43,43,0.8080,0,0,0,16,27,0.4040,0,0,0,0,0,0,0,0,0
71,Black Hawk,CF W4 P2,0,0,0,6,0,0,0,0,0,40,57,0.4040,0,0,0,0,0,0,21,0,0,0,0,0,106,108,0.8080,1,0,0,67,84,0.8080,13,0,0,0,0,0,1,0,0
72,Black Hawk,WL 2-4,0,0,0,24,25,0.6060,0,0,0,28,29,0.8080,0,0,0,0,0,0,19,20,0.6060,0,0,0,26,30,0.8080,7,0,0,15,19,0.6060,5,0,0,0,0,0,0,0,0
